Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
antar,taruh,taruh,Verb,"manaruhkon	v		mengantar; mengantarkan:		manaruhkon tinongos bani inang meng- antarkan kiriman untuk ibu;  meng- antar"
anting,ombing,,,
anting-anting yang bulat dan tipis,ombing,OmbiG,Noun,ombing ai ia iberehkon simantuani bani parumaenni anting-anting itu diberikan mertua kepada me- nantunya
Antr kelompok,marga,,,
Antr kelompok kekerabatan yang eksogam dan unilinier secara patrilineal,marga,marga,Noun,au marga Saragih saya marga Saragih
anus,hayang,hayaG,Noun,pantat
anyam,baju,baju,Verb,
anyam,bayu,bayu,Verb,bayu apei ai anyam dulu tikar itu; 
anyir,moyat,mOyat,Adjective,moyat daini gulai on sayur ini rasanya anyir
apa,aha,,,
apa; apakah,aha,aha,Pronoun,aha ma iboan ham hunjai? apakah yang kamu bawa dari sana?
apalagi,bangkin,bakkin,Pronoun,"na marduit pe seng ra manolong, bangkin na ma sombuh ma yang banyak uangpun  tidak bisa menolong, apalagi orang miskin"
api,apui,apuy,Noun,songon apui milasmu seperti api panas badanmu;
api unggun,pinurun,pinurun,Noun,mambahen pinurun hanami kami membuat api unggun
api yang berbara banyak,dagos,dagOs,,
apit,poldas,pOldas,Verb,poldas on bajutmu in! apit tas kamu!
apung,mubang,mubang,Verb,
apung,mumbang,mumbang,Verb,mengapung
arah,ubar,ubar,Noun,ubar hu  siamun arah sebelah kanan
arahmatahariterbittimur,hataran,hataran,Noun,hanpit hataran aima jumahu sebelah timur itulah ladangku
arang,agong,agOG,Noun,mamboli agong inang i tiga ibu membeli arang di pasar;
arang,arang,araG,Noun,arang ni hayu arang kayu
areal ladang,lonih,,,
areal ladang yang telah dicangkul atau dikerjakan,lonih,lOnih,Noun,sonari
aren,bagod,bagOd,Noun,adong tubuh bagod i jae pohon aren tumbuh di situ
aren pertama,tukason,,,
aren pertama dibuka untuk mengambil nira- nya,tukason,tukasOn,Noun,
